,xg_home_rolling_3,xg_away_rolling_3,elo_home_rolling_3,elo_away_rolling_3,elo_rolling_diff,xg_rolling_diff,goal_ratio_diff,ga_per_xGA_diff,gf_per_xG_diff,elo_diff_x_xg_diff,elo_diff_sq,goal_ratio_home_rolling_1,goal_ratio_away_rolling_1
0,0.9666667,1.1333333,1616.268514,1714.4708659,-98.2023519,-0.1666667,-1.1111111,0.248151,-0.035224,16.3670586,9643.7019187,0.6666667,1.0
1,1.2666667,1.5,1590.8964844,1752.1384684,-161.2419841,-0.2333333,-0.6944444,0.4120854,0.1581077,37.6231296,25998.9774258,0.75,1.5
2,1.1666667,0.9333333,1640.478068,1641.1972249,-0.7191569,0.2333333,-0.1547619,-0.1543746,0.0066845,-0.1678033,0.5171867,0.2857143,0.25
3,1.1666667,1.8,1537.1184896,1707.4969075,-170.378418,-0.6333333,0.2055556,-1.7768441,-0.1484607,107.9063314,29028.8053088,2.0,1.3333333
4,2.5666667,2.3,1791.692627,1944.2658284,-152.5732015,0.2666667,0.0,-0.4810606,-0.4098136,-40.6861871,23278.5818058,2.0,3.5
5,1.2666667,1.6666667,1567.9077556,1698.9291586,-131.021403,-0.4,-0.2777778,0.8833364,0.3056559,52.4085612,17166.6080441,1.5,0.5
6,2.3666667,1.6666667,1830.6864827,1768.2451579,62.4413248,0.7,0.3888889,0.5661376,0.1464572,43.7089274,3898.9190469,0.5,1.0
7,1.3333333,0.9666667,1498.1685384,1650.0900879,-151.9215495,0.3666667,-1.0,0.4711462,0.597919,-55.7045681,23080.1571924,1.0,4.0
8,0.7666667,1.9,1728.4508057,1611.6400146,116.810791,-1.1333333,-1.2777778,0.2036563,-0.0614844,-132.3855632,13644.7609018,1.0,0.6666667
9,1.4333333,1.2333333,1653.6560466,1631.6711019,21.9849447,0.2,1.6547619,-0.3304491,0.3585059,4.3969889,483.3377935,3.0,1.5
10,1.6666667,1.4,1616.3174642,1587.6617025,28.6557617,0.2666667,1.1388889,-0.5037588,0.1515797,7.6415365,821.1526805,4.0,1.5
11,1.9333333,1.1666667,1945.0132243,1569.4100342,375.6031901,0.7666667,2.0,-0.3567821,0.8318898,287.9624457,141077.7563883,1.0,0.5
12,1.3,1.2333333,1636.2651774,1497.3775228,138.8876546,0.0666667,-0.2222222,0.5986284,-1.0304494,9.259177,19289.780591,0.6666667,0.3333333
13,1.9,1.9333333,1701.8384196,1799.880127,-98.0417074,-0.0333333,-0.3055556,1.0036181,0.2501282,3.2680569,9612.1763834,1.5,1.0
14,1.1333333,1.4,1771.1955566,1542.8301188,228.3654378,-0.2666667,-0.1555556,0.0717725,-0.5883944,-60.8974501,52150.7731968,0.2,0.6666667
15,1.6333333,0.8666667,1699.0906576,1618.7095947,80.3810628,0.7666667,0.7777778,-0.634981,-0.2071498,61.6254815,6461.1152622,2.0,1.0
16,1.2666667,2.2666667,1755.7958171,1827.7640788,-71.9682617,-1.0,-1.5555556,0.2747253,-0.0818735,71.9682617,5179.4306921,0.6666667,5.0
